                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0343,                 4.1997,                 4.1704,                0.00097,                0.00132,                 0.0005,                  5e-05,                 4.0847,                 4.4743,                 4.1693,              0.0002307,              0.0002307,              0.0002307
                      2,                 3.7312,                 3.3864,                 3.8526,                0.00103,                0.00132,                0.00053,                  5e-05,                 4.1041,                 4.8522,                 4.2766,             0.00046863,             0.00046863,             0.00046863
                      3,                 3.4044,                 3.1673,                 3.6025,                0.00018,                0.00995,                 0.0001,                  1e-05,                 4.1264,                  5.393,                 4.3919,             0.00070608,             0.00070608,             0.00070608
                      4,                 3.2204,                 2.9802,                 3.3953,                0.57367,                0.02293,                0.01419,                0.00363,                 3.3808,                  3.384,                 3.4883,             0.00076672,             0.00076672,             0.00076672
                      5,                 2.8903,                 2.8022,                  3.189,                0.00894,                 0.0859,                0.01288,                0.00435,                 3.9032,                 3.8737,                 4.0588,             0.00076595,             0.00076595,             0.00076595
                      6,                 2.8449,                 2.6827,                 3.0702,                0.35694,                 0.0075,                0.00388,                0.00097,                 3.9941,                 12.115,                 4.4114,             0.00076519,             0.00076519,             0.00076519
                      7,                 2.6988,                  2.621,                 2.9304,                0.15321,                 0.0661,                0.02798,                0.01045,                 3.6595,                 3.5298,                  3.581,             0.00076443,             0.00076443,             0.00076443
                      8,                 2.6368,                 2.4279,                 2.8053,                0.03306,                0.02638,                0.01555,                0.00495,                 3.6682,                 3.9129,                 3.5832,             0.00076367,             0.00076367,             0.00076367
                      9,                 2.4918,                  2.303,                 2.7434,                0.58779,                0.09323,                0.08683,                0.03403,                 2.8533,                 2.5241,                 3.0986,             0.00076291,             0.00076291,             0.00076291
                     10,                 2.4682,                 2.2099,                 2.6476,                0.30938,                0.16314,                0.14845,                0.05763,                 2.5255,                 2.2536,                 2.7489,             0.00076215,             0.00076215,             0.00076215
                     11,                 2.3482,                 2.0845,                 2.5501,                0.58802,                0.19554,                0.19978,                0.07603,                 2.3449,                 2.0372,                 2.5574,             0.00076139,             0.00076139,             0.00076139
                     12,                 2.3138,                 2.0569,                 2.4577,                  0.491,                 0.1404,                0.16937,                0.06496,                 2.5041,                 2.8695,                 2.7356,             0.00076063,             0.00076063,             0.00076063
                     13,                  2.279,                 1.9748,                  2.411,                0.55687,                0.21533,                0.22087,                0.08436,                 2.4133,                 1.9389,                 2.5195,             0.00075986,             0.00075986,             0.00075986
                     14,                 2.1954,                 1.8919,                 2.3041,                0.54617,                0.19783,                0.23438,                0.09599,                 2.1711,                 2.8426,                 2.4073,              0.0007591,              0.0007591,              0.0007591
                     15,                 2.1496,                  1.829,                 2.2414,                0.51795,                0.23967,                0.27956,                 0.0985,                 2.3737,                 2.1614,                 2.4324,             0.00075834,             0.00075834,             0.00075834
                     16,                 2.1272,                 1.7315,                 2.1541,                 0.4856,                0.37259,                0.36079,                0.14941,                 2.0671,                 1.6607,                 2.1629,             0.00075758,             0.00075758,             0.00075758
                     17,                 2.0842,                 1.6928,                 2.1052,                0.60713,                0.37643,                0.38209,                0.14925,                 2.0522,                 1.6185,                 2.1355,             0.00075682,             0.00075682,             0.00075682
                     18,                 2.0566,                 1.7046,                 2.0641,                0.45895,                0.22849,                0.19982,                0.07637,                 2.3084,                 2.6137,                 2.5746,             0.00075606,             0.00075606,             0.00075606
                     19,                 1.9979,                 1.5995,                 1.9944,                0.59342,                0.42702,                0.46413,                0.20934,                 1.8567,                  1.486,                 1.9937,              0.0007553,              0.0007553,              0.0007553
                     20,                 1.9183,                 1.5324,                  1.942,                0.69481,                0.28828,                0.36836,                0.15652,                 2.0437,                 1.8147,                  2.223,             0.00075454,             0.00075454,             0.00075454
                     21,                 1.9048,                 1.4902,                 1.8934,                0.67286,                0.41923,                0.49346,                0.21652,                 1.8679,                 1.3861,                 1.9615,             0.00075377,             0.00075377,             0.00075377
                     22,                 1.8772,                 1.4341,                 1.8444,                 0.5423,                0.35348,                0.37564,                0.15295,                 2.0164,                  2.187,                 2.1022,             0.00075301,             0.00075301,             0.00075301
                     23,                 1.8161,                 1.4083,                 1.7966,                0.68892,                0.46835,                0.51447,                0.22974,                 1.8487,                 1.3697,                  1.896,             0.00075225,             0.00075225,             0.00075225
                     24,                  1.788,                 1.3562,                 1.7744,                0.63601,                 0.4982,                0.53558,                0.24086,                 1.7813,                 1.3198,                 1.8078,             0.00075149,             0.00075149,             0.00075149
                     25,                 1.7681,                 1.3393,                 1.7312,                0.76526,                0.51393,                0.53544,                0.21456,                 1.8666,                 1.5788,                 1.8254,             0.00075073,             0.00075073,             0.00075073
                     26,                  1.753,                 1.3276,                 1.7153,                0.80491,                0.49708,                0.57142,                0.26372,                 1.7554,                 1.2845,                  1.779,             0.00074997,             0.00074997,             0.00074997
                     27,                 1.6879,                 1.2382,                 1.6504,                0.78527,                0.51782,                0.57581,                0.26908,                 1.7183,                 1.2131,                 1.7323,             0.00074921,             0.00074921,             0.00074921
                     28,                 1.6931,                 1.2481,                 1.6353,                 0.8221,                0.51036,                0.58601,                0.27165,                 1.7527,                 1.2511,                 1.7261,             0.00074844,             0.00074844,             0.00074844
                     29,                 1.6404,                 1.1999,                 1.6153,                0.84983,                0.56801,                0.61396,                0.29252,                 1.6388,                 1.1541,                 1.6244,             0.00074768,             0.00074768,             0.00074768
                     30,                 1.6609,                 1.1729,                 1.5832,                0.81026,                0.53641,                0.59598,                0.27044,                 1.7292,                 1.2503,                 1.6971,             0.00074692,             0.00074692,             0.00074692
                     31,                 1.6226,                  1.153,                 1.5659,                0.82184,                0.57698,                0.62646,                0.29406,                 1.6698,                 1.1693,                 1.6366,             0.00074616,             0.00074616,             0.00074616
                     32,                 1.6156,                 1.1473,                  1.554,                0.76758,                0.52169,                0.56878,                0.24795,                 1.8625,                 1.4121,                 1.8304,              0.0007454,              0.0007454,              0.0007454
                     33,                 1.5776,                 1.1163,                 1.5322,                0.84186,                0.60019,                0.65674,                0.31099,                 1.6172,                 1.1064,                  1.586,             0.00074464,             0.00074464,             0.00074464
                     34,                 1.5659,                 1.0691,                 1.5161,                0.50986,                0.29333,                0.29171,                0.13687,                 2.1636,                 2.2349,                  2.411,             0.00074388,             0.00074388,             0.00074388
                     35,                 1.5439,                 1.0481,                 1.4935,                0.79692,                0.55593,                0.61892,                0.28931,                 1.6741,                 1.1663,                 1.6089,             0.00074312,             0.00074312,             0.00074312
                     36,                 1.5224,                 1.0398,                 1.4729,                0.85945,                0.59902,                0.68181,                0.32753,                 1.6335,                 1.0513,                   1.57,             0.00074235,             0.00074235,             0.00074235
