                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8144,                 4.3518,                  2.263,                 2.8659,                 6.1836,                 1.8824,                0.01086,                0.00492,                0.00568,                0.00324,                 3.0586,                 4.5717,                 2.7954,                 2.7242,                 6.2454,                 2.2742,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 2.0562,                 3.1302,                 1.7822,                  2.077,                 5.5775,                 1.5784,                0.44677,                0.25352,                0.22212,                0.11911,                 1.5695,                 2.1533,                 1.3829,                 1.5894,                 4.2676,                 1.3091,             0.00010699,             0.00010699,             0.00010699
                      3,                 1.4259,                  1.519,                 1.2352,                 1.5223,                 3.0751,                 1.1716,                0.32755,                0.46047,                0.38311,                 0.1985,                 1.4842,                 3.2081,                 1.3166,                 1.5268,                  3.613,                 1.2656,             0.00016389,             0.00016389,             0.00016389
                      4,                 1.4384,                  1.191,                  1.254,                 1.5919,                 2.0168,                 1.1975,                0.69956,                 0.4924,                0.50436,                0.25117,                 1.4888,                 1.3637,                  1.291,                 1.5688,                  2.141,                 1.2669,             0.00022068,             0.00022068,             0.00022068
                      5,                 1.3356,                 1.0329,                 1.2088,                  1.464,                  1.642,                 1.1775,                0.52747,                0.50035,                0.50022,                0.24979,                 1.5035,                 1.2478,                 1.3536,                  1.526,                 2.0046,                 1.3078,             0.00027736,             0.00027736,             0.00027736
                      6,                 1.2913,                0.94265,                 1.1812,                 1.4386,                 1.2873,                 1.1417,                0.65683,                0.55312,                0.59156,                0.29638,                  1.552,                  1.292,                 1.3621,                 1.6148,                  1.503,                 1.3304,             0.00033392,             0.00033392,             0.00033392
                      7,                 1.2775,                0.97024,                 1.1725,                 1.4922,                 1.2776,                 1.1455,                0.64792,                0.49297,                0.52633,                0.25001,                  1.694,                 1.4468,                 1.5225,                 1.7072,                   1.74,                 1.4523,             0.00039037,             0.00039037,             0.00039037
                      8,                 1.3234,                  0.933,                 1.1907,                 1.5368,                  1.173,                 1.1481,                0.81521,                0.62997,                 0.6994,                0.35477,                 1.4115,                 1.0925,                 1.2707,                 1.5354,                  1.194,                 1.2731,              0.0004467,              0.0004467,              0.0004467
                      9,                 1.2283,                0.87007,                  1.126,                 1.4344,                 1.0429,                 1.0943,                0.84201,                0.60969,                0.68311,                0.35014,                 1.3748,                 1.0755,                 1.2432,                  1.482,                 1.1929,                  1.241,             0.00050293,             0.00050293,             0.00050293
                     10,                 1.1767,                0.79278,                 1.1139,                  1.351,                 0.9845,                 1.0962,                0.84826,                 0.6586,                0.69844,                0.36737,                 1.3874,                0.98306,                 1.2463,                 1.4803,                  1.117,                 1.2464,             0.00055903,             0.00055903,             0.00055903
                     11,                 1.2072,                0.80248,                 1.1291,                 1.3902,                0.93898,                 1.1108,                0.72162,                0.59053,                0.70091,                0.36926,                 1.3876,                 0.9387,                 1.2499,                 1.5193,                 1.2368,                 1.2576,             0.00061503,             0.00061503,             0.00061503
                     12,                 1.2673,                0.80253,                 1.1604,                 1.4879,                0.92361,                 1.1267,                0.85776,                0.63709,                0.72388,                0.36346,                 1.4142,                0.95461,                 1.2897,                 1.5106,                 1.0094,                 1.2864,             0.00067091,             0.00067091,             0.00067091
                     13,                 1.2381,                0.81728,                 1.1333,                 1.4553,                 0.9487,                 1.1111,                0.57769,                0.72924,                0.63412,                0.33398,                 1.3687,                 1.0798,                 1.2467,                 1.4956,                 1.6685,                 1.2575,             0.00070552,             0.00070552,             0.00070552
                     14,                 1.2547,                0.79193,                 1.1226,                 1.4608,                0.94529,                 1.1042,                0.71282,                0.64494,                0.71581,                0.37066,                 1.4908,                0.97853,                 1.3751,                 1.5699,                 1.1416,                 1.3331,             0.00070552,             0.00070552,             0.00070552
                     15,                 1.2737,                0.75486,                 1.2057,                 1.4474,                0.87295,                  1.179,                0.67616,                0.56385,                0.58784,                0.25729,                  1.693,                 1.1871,                 1.5109,                 1.7366,                 1.4425,                 1.4469,             0.00070481,             0.00070481,             0.00070481
                     16,                 1.1803,                0.68563,                 1.1006,                 1.4029,                0.79178,                 1.0804,                0.83047,                0.59594,                0.67993,                0.34416,                 1.4431,                 1.0305,                 1.3371,                 1.5544,                  1.278,                 1.3383,              0.0007041,              0.0007041,              0.0007041
                     17,                 1.2328,                0.72469,                 1.1456,                  1.448,                0.80887,                 1.1173,                0.76905,                0.64785,                0.70208,                0.35393,                 1.4576,                 1.0176,                 1.3558,                  1.541,                 1.1957,                 1.3383,              0.0007034,              0.0007034,              0.0007034
                     18,                 1.1964,                0.71232,                 1.1032,                 1.4266,                0.83801,                 1.0738,                0.66112,                0.61237,                0.65575,                0.33054,                 1.5704,                 1.5071,                 1.3757,                 1.6504,                 1.5946,                 1.3783,             0.00070269,             0.00070269,             0.00070269
                     19,                  1.211,                0.71313,                 1.1145,                 1.4301,                0.79682,                 1.0917,                0.69457,                0.74113,                0.76003,                0.41831,                 1.3457,                0.83534,                 1.2325,                 1.4729,                 0.8452,                 1.2412,             0.00070198,             0.00070198,             0.00070198
                     20,                 1.2017,                0.74419,                 1.1616,                 1.3598,                0.80222,                 1.1454,                0.83398,                0.66007,                0.74986,                0.37909,                 1.4119,                0.96793,                 1.3176,                 1.5092,                0.99985,                 1.3085,             0.00070128,             0.00070128,             0.00070128
                     21,                 1.2029,                0.70865,                 1.1294,                 1.3768,                0.75652,                 1.1119,                0.75146,                0.66656,                0.76948,                0.39287,                  1.393,                0.92168,                 1.2783,                 1.5012,                0.91144,                 1.2713,             0.00070057,             0.00070057,             0.00070057
                     22,                 1.2486,                 0.7003,                 1.1336,                  1.455,                0.73079,                 1.1169,                0.67605,                0.78781,                0.76295,                0.39482,                 1.4306,                 1.0928,                 1.2644,                   1.58,                 1.1175,                 1.2738,             0.00069986,             0.00069986,             0.00069986
                     23,                 1.1895,                0.71518,                  1.104,                 1.4038,                0.75778,                 1.0865,                0.67233,                0.66171,                0.74797,                0.39135,                 1.4105,                 0.8583,                 1.2696,                 1.5069,                0.95433,                 1.2608,             0.00069916,             0.00069916,             0.00069916
                     24,                 1.2292,                0.70173,                 1.1035,                 1.4503,                0.76663,                 1.0811,                0.63485,                0.74406,                0.74817,                0.40934,                 1.3877,                0.84617,                 1.2704,                 1.5069,                0.92438,                 1.2738,             0.00069845,             0.00069845,             0.00069845
                     25,                 1.1812,                0.70174,                 1.1259,                 1.3759,                0.71694,                 1.1078,                0.77091,                0.74855,                0.78437,                0.41868,                 1.3699,                0.78111,                 1.2314,                  1.489,                0.78136,                  1.248,             0.00069774,             0.00069774,             0.00069774
                     26,                 1.2037,                0.68859,                 1.1537,                 1.4061,                0.74951,                 1.1319,                0.72162,                0.76529,                0.78016,                0.41379,                 1.3671,                0.81459,                 1.2216,                 1.5128,                0.75154,                 1.2408,             0.00069704,             0.00069704,             0.00069704
                     27,                 1.1535,                0.66364,                 1.0815,                 1.3803,                0.70028,                 1.0742,                0.62874,                0.60554,                0.61385,                0.30996,                 1.6106,                 1.4886,                 1.3707,                 1.7444,                 1.6807,                 1.3838,             0.00069633,             0.00069633,             0.00069633
                     28,                 1.1599,                0.68894,                 1.0906,                 1.3557,                0.70997,                 1.0759,                0.61834,                0.55391,                0.60885,                0.29164,                 1.7366,                 1.4365,                 1.5725,                 1.8031,                 1.5803,                 1.5555,             0.00069562,             0.00069562,             0.00069562
                     29,                 1.2243,                0.74386,                 1.1303,                 1.4304,                0.78828,                 1.1078,                0.68112,                 0.7772,                0.77179,                0.41993,                 1.3561,                 0.8066,                 1.2034,                 1.4893,                0.79727,                 1.2247,             0.00069491,             0.00069491,             0.00069491
                     30,                 1.0906,                0.63456,                 1.0498,                 1.3159,                0.70211,                  1.042,                 0.7284,                0.82467,                0.80379,                 0.4492,                 1.3265,                0.74205,                 1.2035,                 1.4563,                0.75229,                 1.2164,             0.00069421,             0.00069421,             0.00069421
                     31,                 1.1901,                 0.6963,                 1.0923,                 1.4082,                0.72688,                 1.0664,                0.71704,                0.78792,                0.79176,                0.43896,                  1.348,                   0.77,                 1.1979,                 1.4828,                0.79819,                 1.2273,              0.0006935,              0.0006935,              0.0006935
                     32,                 1.1428,                  0.661,                 1.0974,                 1.3633,                0.70627,                 1.0759,                0.67017,                0.76477,                0.78247,                0.43248,                 1.3511,                0.79016,                 1.1943,                 1.4906,                 0.7963,                 1.1973,             0.00069279,             0.00069279,             0.00069279
                     33,                  1.143,                0.65268,                 1.0919,                 1.3664,                0.70584,                 1.0745,                0.76111,                0.78912,                0.81644,                0.44983,                 1.3602,                0.73451,                 1.2038,                 1.4885,                0.74403,                 1.2112,             0.00069209,             0.00069209,             0.00069209
                     34,                 1.1707,                0.64407,                 1.1045,                 1.4023,                0.66233,                 1.0817,                0.73141,                0.77431,                0.78537,                0.43227,                 1.3654,                0.74895,                 1.2386,                 1.4629,                0.74263,                 1.2388,             0.00069138,             0.00069138,             0.00069138
                     35,                 1.1507,                0.65412,                 1.1147,                 1.3444,                0.65285,                 1.1101,                 0.8098,                0.83596,                0.83225,                0.46539,                 1.3091,                0.65744,                 1.2231,                 1.4316,                0.60509,                 1.2281,             0.00069067,             0.00069067,             0.00069067
                     36,                 1.1144,                0.60595,                 1.0705,                 1.3276,                0.62417,                 1.0553,                0.88258,                0.70587,                0.80904,                0.43729,                  1.365,                0.73551,                 1.2523,                 1.4664,                0.78818,                 1.2392,             0.00068997,             0.00068997,             0.00068997
                     37,                 1.2059,                0.66636,                 1.1193,                 1.4031,                0.69268,                 1.1047,                0.79951,                0.77284,                0.80365,                0.45997,                 1.3238,                0.68383,                 1.2376,                 1.4202,                0.69838,                 1.2166,             0.00068926,             0.00068926,             0.00068926
                     38,                  1.199,                0.66667,                 1.1261,                 1.4288,                0.68836,                 1.1141,                0.76936,                0.80369,                 0.8234,                0.47149,                 1.2844,                0.68173,                 1.2034,                  1.395,                0.70624,                 1.2081,             0.00068855,             0.00068855,             0.00068855
                     39,                 1.1267,                0.62658,                 1.1136,                 1.3065,                0.62448,                 1.1107,                0.82417,                0.64627,                0.73181,                0.40787,                 1.3593,                0.83484,                  1.232,                 1.4279,                0.87336,                 1.2197,             0.00068785,             0.00068785,             0.00068785
                     40,                 1.1312,                0.63605,                 1.0818,                 1.3079,                0.63983,                 1.0711,                0.84619,                0.72758,                 0.7675,                  0.424,                 1.3417,                0.72127,                 1.2336,                 1.4656,                0.77322,                 1.2332,             0.00068714,             0.00068714,             0.00068714
                     41,                 1.1654,                 0.6413,                 1.0862,                 1.3957,                0.65948,                 1.0653,                0.74286,                0.83808,                0.81844,                0.46243,                 1.2947,                 0.6708,                 1.1672,                 1.3926,                0.67568,                 1.1764,             0.00068643,             0.00068643,             0.00068643
                     42,                 1.1548,                0.63279,                 1.1093,                 1.3431,                0.64116,                 1.1032,                0.64767,                0.65183,                 0.6841,                0.36005,                 1.4578,                0.96701,                 1.2642,                 1.5738,                  1.191,                 1.2733,             0.00068573,             0.00068573,             0.00068573
                     43,                 1.1881,                0.62593,                 1.1222,                 1.3683,                0.61692,                 1.1152,                0.77458,                0.61775,                0.72492,                0.36416,                 1.4863,                0.89031,                 1.3112,                 1.5702,                 1.0431,                 1.3024,             0.00068502,             0.00068502,             0.00068502
                     44,                 1.2013,                0.64066,                 1.1227,                 1.3534,                0.65931,                 1.1099,                0.75956,                 0.8076,                0.82398,                0.44166,                 1.3983,                0.70666,                 1.2895,                 1.4788,                0.72271,                 1.2487,             0.00068431,             0.00068431,             0.00068431
                     45,                 1.1639,                0.64194,                 1.1089,                 1.3657,                0.67978,                 1.0966,                0.80894,                0.81364,                0.86817,                0.48216,                 1.3342,                0.67331,                 1.2142,                  1.427,                0.71536,                 1.2005,             0.00068361,             0.00068361,             0.00068361
                     46,                 1.1761,                0.61501,                 1.0722,                 1.4102,                0.63949,                 1.0509,                 0.7377,                0.74781,                0.77384,                0.41878,                 1.4101,                0.72391,                 1.2962,                 1.5084,                0.79698,                 1.2679,              0.0006829,              0.0006829,              0.0006829
                     47,                 1.1332,                0.63472,                 1.0698,                  1.388,                0.67341,                  1.047,                0.80065,                  0.726,                0.75788,                0.41589,                 1.4454,                0.76276,                 1.2925,                 1.5287,                0.81791,                 1.2699,             0.00068219,             0.00068219,             0.00068219
                     48,                 1.1721,                0.62307,                 1.0712,                 1.4038,                0.63109,                 1.0556,                0.72397,                0.79194,                0.80739,                0.45758,                 1.3075,                0.67881,                 1.2081,                 1.4033,                0.68627,                 1.2023,             0.00068148,             0.00068148,             0.00068148
                     49,                 1.0851,                0.59581,                 1.0405,                 1.3227,                0.60751,                 1.0212,                0.71327,                0.72511,                0.81093,                0.45482,                 1.3434,                0.76633,                 1.2181,                   1.44,                0.80687,                 1.2117,             0.00068078,             0.00068078,             0.00068078
                     50,                 1.1404,                0.60016,                 1.0825,                 1.3678,                0.62041,                 1.0704,                0.58079,                0.58953,                 0.6341,                0.33847,                  1.615,                 1.1429,                 1.3938,                  1.649,                 1.3318,                 1.3897,             0.00068007,             0.00068007,             0.00068007
                     51,                 1.1187,                0.59412,                 1.0698,                 1.3148,                0.60115,                 1.0596,                0.81391,                0.58309,                0.65921,                0.33254,                 1.6492,                 1.1963,                 1.3869,                 1.6883,                 1.4958,                 1.4015,             0.00067936,             0.00067936,             0.00067936
                     52,                 1.1465,                0.62052,                 1.1026,                 1.3547,                0.64708,                 1.0788,                0.83927,                0.60109,                0.68776,                 0.3547,                 1.6049,                  1.099,                 1.3664,                   1.67,                 1.3054,                 1.3649,             0.00067866,             0.00067866,             0.00067866
                     53,                 1.1187,                0.59625,                 1.0624,                 1.3207,                0.59644,                 1.0441,                0.81343,                0.74411,                0.80124,                0.43146,                 1.3865,                0.79254,                 1.2195,                 1.5055,                0.83009,                 1.2338,             0.00067795,             0.00067795,             0.00067795
                     54,                 1.1137,                0.60304,                 1.0804,                 1.2912,                0.60978,                 1.0636,                0.78508,                0.81084,                0.84697,                0.47514,                 1.3272,                 0.6634,                 1.1787,                 1.4338,                0.67401,                 1.1797,             0.00067724,             0.00067724,             0.00067724
                     55,                 1.0491,                0.56533,                 1.0509,                 1.2335,                 0.5794,                 1.0441,                0.74402,                0.82395,                0.82719,                0.45862,                 1.3613,                0.71242,                 1.2071,                 1.4615,                0.70177,                 1.2099,             0.00067654,             0.00067654,             0.00067654
                     56,                 1.1138,                0.58809,                 1.0634,                  1.307,                0.58995,                 1.0472,                0.78518,                0.82199,                0.84974,                0.49126,                 1.3131,                0.69077,                 1.1849,                 1.4139,                0.68228,                 1.1785,             0.00067583,             0.00067583,             0.00067583
                     57,                 1.1286,                0.59106,                 1.0605,                 1.3424,                0.60972,                 1.0524,                 0.7428,                0.81744,                0.83857,                0.48192,                 1.3225,                0.68189,                 1.2022,                 1.4269,                0.66215,                 1.2042,             0.00067512,             0.00067512,             0.00067512
                     58,                 1.0857,                0.58798,                 1.0698,                 1.2894,                0.60269,                 1.0653,                0.91661,                0.79084,                0.89128,                0.48976,                  1.319,                0.69196,                 1.1838,                 1.4429,                0.67524,                 1.1858,             0.00067442,             0.00067442,             0.00067442
                     59,                 1.1372,                0.60295,                 1.0476,                 1.3631,                0.64435,                 1.0302,                0.80985,                0.84462,                0.86051,                0.48791,                 1.3021,                0.69072,                 1.1823,                 1.4201,                0.64466,                 1.1832,             0.00067371,             0.00067371,             0.00067371
                     60,                 1.1123,                0.58096,                 1.0592,                  1.315,                0.61045,                 1.0504,                0.82154,                 0.7876,                0.85517,                0.47247,                 1.3461,                0.73721,                 1.1822,                 1.4514,                0.72445,                 1.1993,               0.000673,               0.000673,               0.000673
                     61,                 1.0981,                 0.5769,                 1.0752,                 1.2903,                0.56797,                 1.0571,                0.76437,                0.72152,                 0.7829,                0.42071,                 1.4129,                0.78385,                 1.2504,                  1.508,                0.85432,                 1.2388,              0.0006723,              0.0006723,              0.0006723
                     62,                 1.0804,                0.59062,                 1.0411,                  1.313,                0.61122,                 1.0271,                0.79949,                0.79569,                0.84255,                0.46249,                 1.3267,                 0.7189,                 1.1962,                 1.4216,                0.70981,                 1.1975,             0.00067159,             0.00067159,             0.00067159
                     63,                 1.0983,                0.57948,                 1.0482,                  1.303,                0.59971,                 1.0375,                0.80734,                0.82074,                0.87129,                0.48888,                 1.3186,                0.67429,                 1.1563,                 1.4255,                0.64708,                 1.1597,             0.00067088,             0.00067088,             0.00067088
                     64,                 1.0908,                0.57166,                 1.0743,                  1.268,                0.60554,                 1.0666,                0.81144,                0.86412,                0.87368,                0.49287,                 1.3124,                0.66731,                 1.1462,                 1.4215,                0.64456,                  1.145,             0.00067017,             0.00067017,             0.00067017
                     65,                 1.0885,                0.56794,                 1.0553,                 1.2768,                0.56126,                 1.0455,                0.75328,                0.88752,                0.85083,                0.48917,                 1.2982,                0.60851,                   1.15,                 1.4057,                0.58313,                 1.1543,             0.00066947,             0.00066947,             0.00066947
                     66,                 1.1055,                0.55505,                 1.0547,                 1.3007,                0.57867,                  1.043,                0.84276,                0.75626,                0.83793,                0.46891,                 1.3983,                 0.6862,                 1.2487,                 1.4785,                0.65989,                 1.2315,             0.00066876,             0.00066876,             0.00066876
                     67,                 1.1021,                0.58711,                 1.0631,                 1.3086,                 0.5804,                 1.0527,                0.78299,                0.83397,                0.82663,                 0.4703,                 1.3301,                0.66635,                 1.1961,                 1.4366,                 0.6656,                 1.1869,             0.00066805,             0.00066805,             0.00066805
                     68,                  1.128,                0.59131,                 1.1022,                 1.3224,                0.59987,                 1.0888,                0.79867,                0.81745,                0.84595,                0.47069,                  1.332,                0.64204,                 1.2089,                 1.4432,                0.60991,                 1.2153,             0.00066735,             0.00066735,             0.00066735
                     69,                 1.1623,                0.61649,                 1.1241,                 1.3332,                0.60406,                   1.12,                0.78333,                0.80894,                0.83966,                0.47052,                 1.3677,                0.71609,                 1.2316,                 1.4452,                0.72947,                 1.2222,             0.00066664,             0.00066664,             0.00066664
                     70,                  1.081,                 0.5686,                 1.0612,                 1.2434,                0.56185,                 1.0615,                0.81942,                0.80788,                0.85986,                 0.4943,                 1.3168,                0.66111,                 1.1874,                 1.4201,                0.64087,                 1.1989,             0.00066593,             0.00066593,             0.00066593
                     71,                 1.1697,                0.57299,                 1.1117,                 1.3686,                0.55329,                 1.1035,                0.78333,                0.85788,                0.84606,                0.49608,                 1.2848,                 0.6272,                 1.1594,                 1.3853,                0.64574,                 1.1636,             0.00066523,             0.00066523,             0.00066523
                     72,                 1.1154,                0.54657,                 1.0733,                 1.2961,                0.52388,                 1.0651,                0.78825,                0.84492,                0.84614,                0.48309,                  1.296,                0.62959,                 1.1827,                 1.4094,                0.62363,                 1.1932,             0.00066452,             0.00066452,             0.00066452
                     73,                 1.0641,                0.54129,                  1.023,                 1.2687,                0.52336,                 1.0208,                 0.7786,                 0.7999,                0.82822,                 0.4662,                 1.3109,                0.64364,                 1.2056,                 1.4423,                0.62323,                 1.2215,             0.00066381,             0.00066381,             0.00066381
                     74,                 1.0734,                0.56152,                 1.0431,                 1.3236,                0.55202,                 1.0349,                0.73277,                0.70786,                0.77748,                0.41132,                  1.447,                0.74549,                 1.3368,                 1.5492,                0.77195,                 1.3354,             0.00066311,             0.00066311,             0.00066311
                     75,                 1.0369,                0.54844,                 1.0255,                  1.231,                0.53759,                 1.0271,                0.79097,                  0.852,                0.84378,                0.47406,                 1.2904,                0.62593,                  1.151,                 1.3903,                0.60737,                 1.1523,              0.0006624,              0.0006624,              0.0006624
                     76,                 1.0529,                 0.5328,                 1.0333,                 1.2592,                0.50938,                 1.0304,                0.81523,                0.82649,                0.84663,                0.48313,                 1.3189,                0.62945,                 1.1736,                  1.438,                0.58662,                 1.1646,             0.00066169,             0.00066169,             0.00066169
                     77,                 1.0381,                0.55555,                 1.0337,                 1.2357,                0.53997,                 1.0382,                0.79283,                0.72029,                0.80338,                0.42709,                  1.412,                0.79798,                 1.3141,                 1.5222,                0.78618,                 1.3239,             0.00066099,             0.00066099,             0.00066099
                     78,                 1.0432,                0.53859,                 1.0388,                 1.2429,                0.55296,                 1.0198,                0.80676,                0.79196,                0.83645,                0.47641,                 1.2771,                0.63909,                 1.1675,                 1.4174,                0.61975,                 1.1778,             0.00066028,             0.00066028,             0.00066028
                     79,                 1.0678,                0.52944,                  1.035,                 1.2975,                0.52836,                 1.0308,                0.89147,                0.84015,                0.87527,                0.48728,                 1.3051,                0.65491,                 1.1847,                 1.4021,                0.64964,                 1.1842,             0.00065957,             0.00065957,             0.00065957
                     80,                 1.0158,                0.52226,                 1.0299,                 1.1996,                0.49995,                  1.023,                0.80548,                 0.8246,                0.85188,                0.48374,                 1.3067,                0.66462,                  1.194,                 1.3958,                0.65775,                 1.1949,             0.00065886,             0.00065886,             0.00065886
                     81,                 1.1056,                0.55459,                 1.0342,                 1.3281,                0.53172,                 1.0207,                0.78863,                0.75928,                0.79524,                0.43346,                 1.4574,                0.83205,                 1.2541,                  1.532,                0.89522,                 1.2681,             0.00065816,             0.00065816,             0.00065816
                     82,                 1.0645,                0.53937,                 1.0587,                 1.2301,                0.50722,                 1.0589,                0.73975,                0.86461,                0.83604,                 0.4528,                 1.3887,                0.64775,                 1.2506,                 1.5003,                0.62721,                 1.2561,             0.00065745,             0.00065745,             0.00065745
                     83,                 1.0736,                0.55147,                 1.0326,                 1.2743,                 0.5314,                 1.0287,                0.81021,                0.82848,                0.84929,                0.48781,                 1.3182,                0.63508,                 1.1617,                 1.4425,                 0.5881,                 1.1785,             0.00065674,             0.00065674,             0.00065674
                     84,                 1.1595,                0.56942,                 1.0992,                 1.3335,                0.52571,                 1.0923,                0.88452,                0.84722,                0.87472,                0.47365,                  1.393,                0.67122,                 1.2208,                 1.5207,                0.62905,                 1.2318,             0.00065604,             0.00065604,             0.00065604
                     85,                 1.0409,                0.52722,                 1.0319,                 1.2183,                0.51472,                 1.0193,                0.81395,                0.84254,                0.85951,                0.49563,                 1.3295,                0.64519,                 1.1761,                   1.46,                0.64749,                 1.1863,             0.00065533,             0.00065533,             0.00065533
