               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.2626,              5.8949,              5.2777,          0.00033506,            0.019213,          0.00021882,          2.1882e-05,                   0,                   0,                   0,              0.0865,              0.0015,              0.0015
                   1,              5.2958,              5.8095,              5.2596,          0.00034256,            0.028472,          0.00023776,          5.1228e-05,                   0,                   0,                   0,            0.072094,           0.0030939,           0.0030939
                   2,               5.277,              5.6742,              5.2212,          0.00036225,            0.010398,          0.00021346,          2.7785e-05,                   0,                   0,                   0,            0.057681,           0.0046814,           0.0046814
                   3,              5.2211,              5.4612,              5.1894,          0.00038718,            0.010398,          0.00021279,           3.356e-05,                   0,                   0,                   0,            0.043263,           0.0062626,           0.0062626
                   4,              5.1629,              5.0734,              5.1601,          0.00034699,            0.010398,          0.00019282,          2.5457e-05,                   0,                   0,                   0,            0.028837,           0.0078374,           0.0078374
                   5,              5.0999,              4.6514,              5.0933,           0.0021286,           0.0086345,           0.0012146,          0.00032688,                   0,                   0,                   0,            0.014406,           0.0094059,           0.0094059
                   6,              5.0649,               4.324,              5.0134,            0.003196,            0.021421,           0.0016594,          0.00032025,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                   7,              4.8822,               3.975,              4.9119,           0.0014286,             0.02694,          0.00099858,          0.00017918,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,              4.7155,              3.8283,              4.7919,           0.0012737,            0.024085,          0.00074006,           0.0001476,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,              4.4482,              3.7559,              4.6041,           0.0016053,            0.019466,          0.00081703,          0.00011494,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,              4.2616,              3.5994,              4.4449,          0.00098153,           0.0097222,          0.00050379,          0.00013028,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,              4.1183,              3.4285,              4.3311,           0.0049506,            0.079685,            0.005328,           0.0014662,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  12,              4.0183,              3.3566,                4.16,             0.34549,            0.020282,            0.007279,           0.0014329,                   0,                   0,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,              3.8571,              3.1951,              3.9831,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,              3.5498,              3.1386,              3.8451,            0.012916,            0.044535,           0.0084139,           0.0028417,                   0,                   0,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,              3.4383,               2.949,              3.6723,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,               3.327,              2.8975,              3.5617,            0.042637,            0.035582,            0.019085,           0.0061984,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  17,              3.2223,              2.7287,              3.4223,             0.81627,             0.11806,            0.096949,            0.033285,                   0,                   0,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,              3.1047,              2.7365,              3.3203,              0.0623,           0.0045414,           0.0018258,          0.00044868,                   0,                   0,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,              2.9692,              2.5752,              3.1985,             0.34746,             0.01455,           0.0097674,           0.0036947,                   0,                   0,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,              2.9089,              2.5751,              3.0909,              0.1346,            0.023336,            0.012406,            0.003113,                   0,                   0,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,              2.8864,              2.5159,              3.0067,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  22,              2.7747,               2.439,              2.9655,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,              2.7535,               2.338,              2.8374,           0.0022751,            0.010582,           0.0013857,          0.00031837,                   0,                   0,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,              2.7511,              2.3854,               2.821,          1.4304e-05,          0.00044092,          7.1872e-06,          7.1872e-07,                   0,                   0,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,              2.6008,              2.2459,              2.6614,             0.11157,          0.00088183,          3.2951e-05,          4.7324e-06,                   0,                   0,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,              2.5963,               2.206,              2.6588,           0.0067381,            0.039065,           0.0050566,            0.001575,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  27,              2.5388,              2.1912,              2.5835,             0.34495,            0.005291,           0.0032012,          0.00080495,                   0,                   0,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,              2.4977,              2.1183,              2.5591,             0.11494,           0.0030864,           0.0014368,          0.00030452,                   0,                   0,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,              2.4278,               2.082,              2.5428,             0.11991,            0.015884,           0.0027194,          0.00061311,                   0,                   0,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,              2.4658,              2.0705,              2.4786,             0.92687,             0.20545,             0.23242,             0.11813,                   0,                   0,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,              2.3982,              1.9559,              2.3702,           0.0046966,            0.059899,           0.0059187,           0.0014428,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  32,              2.3602,              1.9743,              2.4057,             0.16797,            0.035469,            0.019691,           0.0059877,                   0,                   0,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,              2.3579,              1.9384,              2.3815,             0.75076,              0.2055,             0.21531,              0.1056,                   0,                   0,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,              2.3053,              1.9655,               2.295,             0.13917,            0.017736,            0.016507,           0.0042512,                   0,                   0,                   0,           0.0093466,           0.0093466,           0.0093466
